Apfel
Tisch
Auto
Haus
Hund
Katze
Blume
Buch
Stuhl
Sonne
Mond
Wasser
Fluss
Baum
Stadt
Himmel
Kaffee
Tasche
Lampe
Fenster
Bruder
Schwester
Freund
E-Mail
Telefon
Arzt
Apotheke
Kuchen
Schule
Universität
Musik
Film
Flugzeug
Zug
Schiff
Sport
Freizeit
Ferien
Beruf
Natur
Wissenschaft
Technologie
Geschichte
Kunst
Theater
Reise
Restaurant
Kleidung
Uhr
Geld
